Date,5-Year Real Rate
2016-11-07,-0.27
2016-11-08,-0.23
2016-11-09,-0.18
2016-11-10,-0.14
2016-11-11,
2016-11-14,0.01
2016-11-15,0.01
2016-11-16,0.02
2016-11-17,0.02
2016-11-18,0.06
2016-11-21,0.05
2016-11-22,0.02
2016-11-23,0.09
2016-11-24,
2016-11-25,0.09
2016-11-28,0.11
2016-11-29,0.09
2016-11-30,0.06
2016-12-01,0.09
2016-12-02,0.08
2016-12-05,0.05
2016-12-06,0.04
2016-12-07,0.02
2016-12-08,0.0
2016-12-09,0.06
2016-12-12,0.04
2016-12-13,0.06
2016-12-14,0.2
2016-12-15,0.32
2016-12-16,0.32
2016-12-19,0.29
2016-12-20,0.26
2016-12-21,0.3
2016-12-22,0.18
2016-12-23,0.2
2016-12-26,
2016-12-27,0.19
2016-12-28,0.17
2016-12-29,0.15
2016-12-30,0.09
2017-01-02,
2017-01-03,0.08
2017-01-04,0.08
2017-01-05,0.03
2017-01-06,0.08
2017-01-09,0.04
2017-01-10,0.05
2017-01-11,0.04
2017-01-12,0.0
2017-01-13,0.05
2017-01-16,
2017-01-17,0.0
2017-01-18,0.07
2017-01-19,0.07
2017-01-20,0.03
2017-01-23,0.02
2017-01-24,0.01
2017-01-25,0.03
2017-01-26,0.01
2017-01-27,-0.02
2017-01-30,-0.01
2017-01-31,-0.04
2017-02-01,0.01
2017-02-02,-0.01
2017-02-03,0.02
2017-02-06,-0.05
2017-02-07,-0.02
2017-02-08,-0.01
2017-02-09,0.02
2017-02-10,0.02
2017-02-13,0.05
2017-02-14,0.11
2017-02-15,0.08
2017-02-16,0.05
2017-02-17,0.07
2017-02-20,
2017-02-21,0.06
2017-02-22,0.0
2017-02-23,-0.03
2017-02-24,-0.1
2017-02-27,0.01
2017-02-28,0.0
2017-03-01,0.15
2017-03-02,0.19
2017-03-03,0.1
2017-03-06,0.12
2017-03-07,0.13
2017-03-08,0.18
2017-03-09,0.24
2017-03-10,0.21
2017-03-13,0.28
2017-03-14,0.25
2017-03-15,0.18
2017-03-16,0.18
2017-03-17,0.14
2017-03-20,0.14
2017-03-21,0.16
2017-03-22,0.16
2017-03-23,0.2
2017-03-24,0.2
2017-03-27,0.18
2017-03-28,0.24
2017-03-29,0.13
2017-03-30,0.15
2017-03-31,0.16
2017-04-03,0.15
2017-04-04,0.11
2017-04-05,0.08
2017-04-06,0.16
2017-04-07,0.22
2017-04-10,0.22
2017-04-11,0.14
2017-04-12,0.12
2017-04-13,0.03
2017-04-14,
2017-04-17,0.1
2017-04-18,0.06
2017-04-19,0.08
2017-04-20,-0.04
2017-04-21,-0.02
2017-04-24,0.0
2017-04-25,0.02
2017-04-26,0.01
2017-04-27,0.0
2017-04-28,0.0
2017-05-01,0.04
2017-05-02,0.04
2017-05-03,0.1
2017-05-04,0.16
2017-05-05,0.14
2017-05-08,0.16
2017-05-09,0.2
2017-05-10,0.16
2017-05-11,0.11
2017-05-12,0.1
2017-05-15,0.12
2017-05-16,0.12
2017-05-17,0.06
2017-05-18,0.06
2017-05-19,0.04
2017-05-22,0.05
2017-05-23,0.07
2017-05-24,0.06
2017-05-25,0.08
2017-05-26,0.06
2017-05-29,
2017-05-30,0.03
2017-05-31,0.03
2017-06-01,0.03
2017-06-02,-0.01
2017-06-05,0.02
2017-06-06,0.0
2017-06-07,0.05
2017-06-08,0.06
2017-06-09,0.09
2017-06-12,0.11
2017-06-13,0.12
2017-06-14,0.15
2017-06-15,0.2
2017-06-16,0.19
2017-06-19,0.24
2017-06-20,0.23
2017-06-21,0.24
2017-06-22,0.19
2017-06-23,0.18
2017-06-26,0.16
2017-06-27,0.21
2017-06-28,0.16
2017-06-29,0.23
2017-06-30,0.26
2017-07-03,0.27
2017-07-04,
2017-07-05,0.27
2017-07-06,0.28
2017-07-07,0.32
2017-07-10,0.33
2017-07-11,0.31
2017-07-12,0.25
2017-07-13,0.25
2017-07-14,0.25
2017-07-17,0.22
2017-07-18,0.2
2017-07-19,0.18
2017-07-20,0.2
2017-07-21,0.19
2017-07-24,0.21
2017-07-25,0.23
2017-07-26,0.17
2017-07-27,0.16
2017-07-28,0.15
2017-07-31,0.17
2017-08-01,0.18
2017-08-02,0.19
2017-08-03,0.17
2017-08-04,0.17
2017-08-07,0.16
2017-08-08,0.15
2017-08-09,0.11
2017-08-10,0.1
2017-08-11,0.1
2017-08-14,0.18
2017-08-15,0.2
2017-08-16,0.17
2017-08-17,0.15
2017-08-18,0.16
2017-08-21,0.17
2017-08-22,0.19
2017-08-23,0.18
2017-08-24,0.18
2017-08-25,0.2
2017-08-28,0.18
2017-08-29,0.16
2017-08-30,0.15
2017-08-31,0.12
2017-09-01,0.1
2017-09-04,
2017-09-05,0.07
2017-09-06,0.09
2017-09-07,0.02
2017-09-08,0.01
2017-09-11,0.08
2017-09-12,0.08
2017-09-13,0.1
2017-09-14,0.09
2017-09-15,0.09
2017-09-18,0.09
2017-09-19,0.1
2017-09-20,0.18
2017-09-21,0.19
2017-09-22,0.17
2017-09-25,0.13
2017-09-26,0.15
2017-09-27,0.17
2017-09-28,0.16
2017-09-29,0.24
2017-10-02,0.21
2017-10-03,0.24
2017-10-04,0.19
2017-10-05,0.2
2017-10-06,0.19
2017-10-09,
2017-10-10,0.2
2017-10-11,0.2
2017-10-12,0.16
2017-10-13,0.2
2017-10-16,0.29
2017-10-17,0.28
2017-10-18,0.3
2017-10-19,0.32
2017-10-20,0.27
2017-10-23,0.32
2017-10-24,0.32
2017-10-25,0.32
2017-10-26,0.31
2017-10-27,0.27
2017-10-30,0.23
2017-10-31,0.22
2017-11-01,0.3
2017-11-02,0.21
2017-11-03,0.25
2017-11-06,0.22
2017-11-07,0.19
2017-11-08,0.24
2017-11-09,0.21
2017-11-10,0.28
2017-11-13,0.29
2017-11-14,0.27
2017-11-15,0.26
2017-11-16,0.28
2017-11-17,0.31
2017-11-20,0.35
2017-11-21,0.36
2017-11-22,0.3
2017-11-23,
2017-11-24,0.36
2017-11-27,0.37
2017-11-28,0.38
2017-11-29,0.4
2017-11-30,0.41
2017-12-01,0.41
2017-12-04,0.39
2017-12-05,0.46
2017-12-06,0.37
2017-12-07,0.4
2017-12-08,0.43
2017-12-11,0.4
2017-12-12,0.4
2017-12-13,0.38
2017-12-14,0.38
2017-12-15,0.39
2017-12-18,0.46
2017-12-19,0.49
2017-12-20,0.5
2017-12-21,0.42
2017-12-22,0.44
2017-12-25,
2017-12-26,0.49
2017-12-27,0.4
2017-12-28,0.37
2017-12-29,0.34
2018-01-01,
2018-01-02,0.35
2018-01-03,0.38
2018-01-04,0.35
2018-01-05,0.34
2018-01-08,0.38
2018-01-09,0.38
2018-01-10,0.38
2018-01-11,0.43
2018-01-12,0.43
2018-01-15,
2018-01-16,0.42
2018-01-17,0.49
2018-01-18,0.44
2018-01-19,0.45
2018-01-22,0.46
2018-01-23,0.51
2018-01-24,0.47
2018-01-25,0.5
2018-01-26,0.54
2018-01-29,0.57
2018-01-30,0.54
2018-01-31,0.54
2018-02-01,0.63
2018-02-02,0.65
2018-02-05,0.55
2018-02-06,0.64
2018-02-07,0.67
2018-02-08,0.68
2018-02-09,0.69
2018-02-12,0.72
2018-02-13,0.66
2018-02-14,0.74
2018-02-15,0.65
2018-02-16,0.63
2018-02-19,
2018-02-20,0.61
2018-02-21,0.63
2018-02-22,0.6
2018-02-23,0.58
2018-02-26,0.53
2018-02-27,0.58
2018-02-28,0.61
2018-03-01,0.55
2018-03-02,0.6
2018-03-05,0.6
2018-03-06,0.55
2018-03-07,0.55
2018-03-08,0.55
2018-03-09,0.69
2018-03-12,0.62
2018-03-13,0.57
2018-03-14,0.57
2018-03-15,0.55
2018-03-16,0.6
2018-03-19,0.61
2018-03-20,0.64
2018-03-21,0.73
2018-03-22,0.6
2018-03-23,0.6
2018-03-26,0.63
2018-03-27,0.64
2018-03-28,0.68
2018-03-29,0.64
2018-03-30,
2018-04-02,0.56
2018-04-03,0.61
2018-04-04,0.57
2018-04-05,0.71
2018-04-06,0.57
2018-04-09,0.58
2018-04-10,0.62
2018-04-11,0.56
2018-04-12,0.62
2018-04-13,0.66
2018-04-16,0.61
2018-04-17,0.67
2018-04-18,0.69
2018-04-19,0.65
2018-04-20,0.7
2018-04-23,0.72
2018-04-24,0.73
2018-04-25,0.75
2018-04-26,0.72
2018-04-27,0.71
2018-04-30,0.69
2018-05-01,0.73
2018-05-02,0.71
2018-05-03,0.69
2018-05-04,0.69
2018-05-07,0.67
2018-05-08,0.71
2018-05-09,0.71
2018-05-10,0.71
2018-05-11,0.71
2018-05-14,0.73
2018-05-15,0.77
2018-05-16,0.78
2018-05-17,0.78
2018-05-18,0.76
2018-05-21,0.75
2018-05-22,0.77
2018-05-23,0.71
2018-05-24,0.71
2018-05-25,0.72
2018-05-28,
2018-05-29,0.6
2018-05-30,0.67
2018-05-31,0.65
2018-06-01,0.68
2018-06-04,0.72
2018-06-05,0.71
2018-06-06,0.75
2018-06-07,0.69
2018-06-08,0.71
2018-06-11,0.72
2018-06-12,0.74
2018-06-13,0.76
2018-06-14,0.74
2018-06-15,0.73
2018-06-18,0.72
2018-06-19,0.7
2018-06-20,0.74
2018-06-21,0.72
2018-06-22,0.7
2018-06-25,0.69
2018-06-26,0.68
2018-06-27,0.64
2018-06-28,0.66
2018-06-29,0.67
2018-07-02,0.68
2018-07-03,0.64
2018-07-04,
2018-07-05,0.64
2018-07-06,0.63
2018-07-09,0.65
2018-07-10,0.68
2018-07-11,0.67
2018-07-12,0.69
2018-07-13,0.66
2018-07-16,0.7
2018-07-17,0.73
2018-07-18,0.74
2018-07-19,0.73
2018-07-20,0.75
2018-07-23,0.82
2018-07-24,0.83
2018-07-25,0.81
2018-07-26,0.86
2018-07-27,0.84
2018-07-30,0.84
2018-07-31,0.85
2018-08-01,0.87
2018-08-02,0.86
2018-08-03,0.82
2018-08-06,0.82
2018-08-07,0.84
2018-08-08,0.85
2018-08-09,0.83
2018-08-10,0.77
2018-08-13,0.76
2018-08-14,0.78
2018-08-15,0.76
2018-08-16,0.78
2018-08-17,0.79
2018-08-20,0.75
2018-08-21,0.76
2018-08-22,0.74
2018-08-23,0.73
2018-08-24,0.73
2018-08-27,0.74
2018-08-28,0.78
2018-08-29,0.78
2018-08-30,0.76
2018-08-31,0.76
2018-09-03,
2018-09-04,0.79
2018-09-05,0.79
2018-09-06,0.79
2018-09-07,0.84
2018-09-10,0.85
2018-09-11,0.86
2018-09-12,0.85
2018-09-13,0.89
2018-09-14,0.9
2018-09-17,0.9
2018-09-18,0.93
2018-09-19,0.94
2018-09-20,0.94
2018-09-21,0.93
2018-09-24,0.93
2018-09-25,0.94
2018-09-26,0.92
2018-09-27,0.92
2018-09-28,0.91
2018-10-01,0.92
2018-10-02,0.91
2018-10-03,0.95
2018-10-04,0.99
2018-10-05,1.02
2018-10-08,
2018-10-09,1.0
2018-10-10,1.01
2018-10-11,1.01
2018-10-12,1.01
2018-10-15,1.01
2018-10-16,1.01
2018-10-17,1.04
2018-10-18,1.04
2018-10-19,1.07
2018-10-22,1.07
2018-10-23,1.07
2018-10-24,1.01
2018-10-25,1.07
2018-10-26,0.98
2018-10-29,0.99
2018-10-30,1.03
2018-10-31,1.08
2018-11-01,1.08
2018-11-02,1.13
2018-11-05,1.12
2018-11-06,1.13
2018-11-07,1.14
2018-11-08,1.17
2018-11-09,1.15
2018-11-12,
2018-11-13,1.11
2018-11-14,1.1
2018-11-15,1.09
2018-11-16,1.02
2018-11-19,1.02
2018-11-20,1.06
2018-11-21,1.08
2018-11-22,
2018-11-23,1.11
2018-11-26,1.12
2018-11-27,1.16
2018-11-28,1.13
2018-11-29,1.06
2018-11-30,1.07
2018-12-03,1.07
2018-12-04,1.05
2018-12-05,
2018-12-06,1.06
2018-12-07,1.02
2018-12-10,1.06
2018-12-11,1.13
2018-12-12,1.15
2018-12-13,1.13
2018-12-14,1.13
2018-12-17,1.11
2018-12-18,1.07
2018-12-19,1.06
2018-12-20,1.12
2018-12-21,1.09
2018-12-24,1.06
2018-12-25,
2018-12-26,1.1
2018-12-27,1.07
2018-12-28,1.04
2018-12-31,1.0
2019-01-01,
2019-01-02,1.0
2019-01-03,0.88
2019-01-04,0.91
2019-01-07,0.92
2019-01-08,0.92
2019-01-09,0.89
2019-01-10,0.91
2019-01-11,0.86
2019-01-14,0.89
2019-01-15,0.9
2019-01-16,0.9
2019-01-17,0.94
2019-01-18,0.95
2019-01-21,
2019-01-22,0.94
2019-01-23,0.95
2019-01-24,0.93
2019-01-25,0.95
2019-01-28,0.96
2019-01-29,0.93
2019-01-30,0.81
2019-01-31,0.73
2019-02-01,0.79
2019-02-04,0.81
2019-02-05,0.79
2019-02-06,0.79
2019-02-07,0.77
2019-02-08,0.75
2019-02-11,0.78
2019-02-12,0.78
2019-02-13,0.77
2019-02-14,0.74
2019-02-15,0.74
2019-02-18,
2019-02-19,0.71
2019-02-20,0.68
2019-02-21,0.71
2019-02-22,0.65
2019-02-25,0.66
2019-02-26,0.63
2019-02-27,0.65
2019-02-28,0.68
2019-03-01,0.71
2019-03-04,0.69
2019-03-05,0.7
2019-03-06,0.68
2019-03-07,0.64
2019-03-08,0.62
2019-03-11,0.62
2019-03-12,0.6
2019-03-13,0.58
2019-03-14,0.58
2019-03-15,0.54
2019-03-18,0.54
2019-03-19,0.57
2019-03-20,0.46
2019-03-21,0.48
2019-03-22,0.44
2019-03-25,0.44
2019-03-26,0.43
2019-03-27,0.44
2019-03-28,0.48
2019-03-29,0.45
2019-04-01,0.49
2019-04-02,0.47
2019-04-03,0.51
2019-04-04,0.51
2019-04-05,0.52
2019-04-08,0.52
2019-04-09,0.51
2019-04-10,0.45
2019-04-11,0.49
2019-04-12,0.52
2019-04-15,0.52
2019-04-16,0.55
2019-04-17,0.56
2019-04-18,0.52
2019-04-19,
2019-04-22,0.52
2019-04-23,0.49
2019-04-24,0.45
2019-04-25,0.47
2019-04-26,0.43
2019-04-29,0.46
2019-04-30,0.43
2019-05-01,0.48
2019-05-02,0.56
2019-05-03,0.53
2019-05-06,0.49
2019-05-07,0.49
2019-05-08,0.53
2019-05-09,0.52
2019-05-10,0.51
2019-05-13,0.45
2019-05-14,0.45
2019-05-15,0.41
2019-05-16,0.43
2019-05-17,0.46
2019-05-20,0.5
2019-05-21,0.51
2019-05-22,0.51
2019-05-23,0.49
2019-05-24,0.5
2019-05-27,
2019-05-28,0.48
2019-05-29,0.46
2019-05-30,0.44
2019-05-31,0.35
2019-06-03,0.27
2019-06-04,0.3
2019-06-05,0.27
2019-06-06,0.3
2019-06-07,0.24
2019-06-10,0.31
2019-06-11,0.35
2019-06-12,0.35
2019-06-13,0.33
2019-06-14,0.37
2019-06-17,0.4
2019-06-18,0.34
2019-06-19,0.24
2019-06-20,0.16
2019-06-21,0.2
2019-06-24,0.18
2019-06-25,0.21
2019-06-26,0.24
2019-06-27,0.23
2019-06-28,0.23
2019-07-01,0.26
2019-07-02,0.25
2019-07-03,0.23
2019-07-04,
2019-07-05,0.29
2019-07-08,0.31
2019-07-09,0.32
2019-07-10,0.23
2019-07-11,0.25
2019-07-12,0.24
2019-07-15,0.23
2019-07-16,0.25
2019-07-17,0.23
2019-07-18,0.18
2019-07-19,0.2
2019-07-22,0.21
2019-07-23,0.22
2019-07-24,0.23
2019-07-25,0.25
2019-07-26,0.28
2019-07-29,0.27
2019-07-30,0.26
2019-07-31,0.28
2019-08-01,0.21
2019-08-02,0.21
2019-08-05,0.16
2019-08-06,0.13
2019-08-07,0.14
2019-08-08,0.11
2019-08-09,0.13
2019-08-12,0.1
2019-08-13,0.13
2019-08-14,0.15
2019-08-15,0.08
2019-08-16,0.08
2019-08-19,0.11
2019-08-20,0.08
2019-08-21,0.13
2019-08-22,0.15
2019-08-23,0.05
2019-08-26,0.09
2019-08-27,0.04
2019-08-28,0.01
2019-08-29,0.01
2019-08-30,0.04
2019-09-02,
2019-09-03,0.06
2019-09-04,0.01
2019-09-05,0.08
2019-09-06,0.07
2019-09-09,0.11
2019-09-10,0.18
2019-09-11,0.2
2019-09-12,0.22
2019-09-13,0.29
2019-09-16,0.21
2019-09-17,0.2
2019-09-18,0.28
2019-09-19,0.25
2019-09-20,0.19
2019-09-23,0.17
2019-09-24,0.13
2019-09-25,0.19
2019-09-26,0.19
2019-09-27,0.2
2019-09-30,0.2
2019-10-01,0.18
2019-10-02,0.14
2019-10-03,0.09
2019-10-04,0.07
2019-10-07,0.11
2019-10-08,0.11
2019-10-09,0.16
2019-10-10,0.19
2019-10-11,0.25
2019-10-14,
2019-10-15,0.26
2019-10-16,0.22
2019-10-17,0.05
2019-10-18,0.04
2019-10-21,0.08
2019-10-22,0.07
2019-10-23,0.06
2019-10-24,0.06
2019-10-25,0.07
2019-10-28,0.13
2019-10-29,0.15
2019-10-30,0.14
2019-10-31,0.07
2019-11-01,0.05
2019-11-04,0.04
2019-11-05,0.08
2019-11-06,0.06
2019-11-07,0.13
2019-11-08,0.11
2019-11-11,
2019-11-12,0.13
2019-11-13,0.11
2019-11-14,0.09
2019-11-15,0.13
2019-11-18,0.09
2019-11-19,0.1
2019-11-20,0.07
2019-11-21,0.09
2019-11-22,0.09
2019-11-25,0.09
2019-11-26,0.06
2019-11-27,0.09
2019-11-28,
2019-11-29,0.12
2019-12-02,0.11
2019-12-03,0.03
2019-12-04,0.06
2019-12-05,0.07
2019-12-06,0.08
2019-12-09,0.08
2019-12-10,0.09
2019-12-11,0.04
2019-12-12,0.11
2019-12-13,0.04
2019-12-16,0.08
2019-12-17,0.06
2019-12-18,0.06
2019-12-19,0.05
2019-12-20,0.06
2019-12-23,0.08
2019-12-24,0.05
2019-12-25,
2019-12-26,0.06
2019-12-27,0.04
2019-12-30,0.02
2019-12-31,0.01
2020-01-01,
2020-01-02,-0.05
2020-01-03,-0.1
2020-01-06,-0.08
2020-01-07,-0.05
2020-01-08,-0.01
2020-01-09,-0.02
2020-01-10,-0.04
2020-01-13,-0.05
2020-01-14,-0.07
2020-01-15,-0.07
2020-01-16,-0.05
2020-01-17,-0.05
2020-01-20,
2020-01-21,-0.09
2020-01-22,-0.07
2020-01-23,-0.09
2020-01-24,-0.11
2020-01-27,-0.12
2020-01-28,-0.12
2020-01-29,-0.17
2020-01-30,-0.2
2020-01-31,-0.28
2020-02-03,-0.21
2020-02-04,-0.16
2020-02-05,-0.15
2020-02-06,-0.16
2020-02-07,-0.2
2020-02-10,-0.24
2020-02-11,-0.2
2020-02-12,-0.19
2020-02-13,-0.22
2020-02-14,-0.22
2020-02-17,
2020-02-18,-0.25
2020-02-19,-0.24
2020-02-20,-0.26
2020-02-21,-0.3
2020-02-24,-0.36
2020-02-25,-0.36
2020-02-26,-0.36
2020-02-27,-0.37
2020-02-28,-0.44
2020-03-02,-0.44
2020-03-03,-0.57
2020-03-04,-0.59
2020-03-05,-0.61
2020-03-06,-0.56
2020-03-09,-0.34
2020-03-10,-0.14
2020-03-11,-0.03
2020-03-12,0.03
2020-03-13,0.17
2020-03-16,0.19
2020-03-17,0.5
2020-03-18,0.63
2020-03-19,0.52
2020-03-20,0.21
2020-03-23,0.01
2020-03-24,-0.03
2020-03-25,-0.13
2020-03-26,-0.21
2020-03-27,-0.13
2020-03-30,-0.18
2020-03-31,-0.12
2020-04-01,-0.19
2020-04-02,-0.34
2020-04-03,-0.39
2020-04-06,-0.41
2020-04-07,-0.38
2020-04-08,-0.4
2020-04-09,-0.49
2020-04-10,
2020-04-13,-0.5
2020-04-14,-0.52
2020-04-15,-0.53
2020-04-16,-0.35
2020-04-17,-0.31
2020-04-20,-0.21
2020-04-21,-0.24
2020-04-22,-0.32
2020-04-23,-0.3
2020-04-24,-0.36
2020-04-27,-0.37
2020-04-28,-0.39
2020-04-29,-0.42
2020-04-30,-0.36
2020-05-01,-0.32
2020-05-04,-0.33
2020-05-05,-0.35
2020-05-06,-0.34
2020-05-07,-0.41
2020-05-08,-0.41
2020-05-11,-0.39
2020-05-12,-0.38
2020-05-13,-0.4
2020-05-14,-0.4
2020-05-15,-0.44
2020-05-18,-0.46
2020-05-19,-0.47
2020-05-20,-0.49
2020-05-21,-0.46
2020-05-22,-0.46
2020-05-25,
